gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,costat,ggroup,gind,gsector,gsubind
004201,20031031,2003,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20041031,2004,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20041031,2004,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20051031,2005,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20051031,2005,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20061031,2006,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20061031,2006,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20071031,2007,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20071031,2007,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20081031,2008,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20081031,2008,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20091031,2009,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20091031,2009,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20101031,2010,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20101031,2010,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20111031,2011,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20111031,2011,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20121031,2012,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20121031,2012,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20131031,2013,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20131031,2013,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20141031,2014,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20141031,2014,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20151031,2015,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20151031,2015,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004201,20161031,2016,FS,C,D,STD,USD,A,4020,402030,40,40203010
004201,20161031,2016,INDL,C,D,STD,USD,A,4020,402030,40,40203010
004321,20000930,2000,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20010930,2001,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20020930,2002,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20030930,2003,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20040930,2004,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20050930,2005,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20060930,2006,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20070930,2007,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20080930,2008,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20090930,2009,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20100930,2010,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20110930,2011,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20120930,2012,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20130930,2013,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20140930,2014,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20150930,2015,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20160930,2016,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004321,20170930,2017,INDL,C,D,STD,USD,A,2010,201040,20,20104010
004839,20001231,2000,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20011231,2001,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20021231,2002,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20031231,2003,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20041231,2004,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20051231,2005,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20061231,2006,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20071231,2007,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20081231,2008,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20091231,2009,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20101231,2010,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20111231,2011,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20121231,2012,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20131231,2013,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20141231,2014,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20151231,2015,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004839,20161231,2016,INDL,C,D,STD,USD,A,2510,251020,25,25102010
004988,20001231,2000,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20011231,2001,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20021231,2002,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20031231,2003,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20041231,2004,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20051231,2005,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20061231,2006,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20071231,2007,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20081231,2008,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20091231,2009,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20101231,2010,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20111231,2011,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20121231,2012,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20131231,2013,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20141231,2014,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20151231,2015,INDL,C,D,STD,USD,A,5020,502010,50,50201020
004988,20161231,2016,INDL,C,D,STD,USD,A,5020,502010,50,50201020
005492,20000630,2000,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20010630,2001,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20020630,2002,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20030630,2003,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20040630,2004,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20050630,2005,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20060630,2006,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20070630,2007,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20080630,2008,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20090630,2009,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20100630,2010,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20110630,2011,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20120630,2012,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20130630,2013,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20140630,2014,INDL,C,D,STD,USD,A,2010,201010,20,20101010
005492,20150630,2015,INDL,C,D,STD,USD,A,2010,201010,20,20101010
